epoch,loss,mae,rmse,f1_score
1,967.2932434082031,3756.914055101799,2291.185253015645,0.0009487666034155598
2,935.884765625,3743.6923828125,2285.5790261656857,0.0
3,993.3194274902344,3736.5004438920455,2282.2936164120406,0.0
4,905.6233520507812,3727.7723869554925,2278.4331770811805,0.0
5,903.4512939453125,3717.239080255682,2273.8768089815776,0.0
6,919.2354736328125,3704.9376035748105,2268.6010273320694,0.0
7,812.8641052246094,3690.966190222538,2262.596480447482,0.0
8,892.2303771972656,3675.449152166193,2256.0362095471514,0.0
9,809.2520141601562,3658.5835700757575,2248.918282062276,0.0
10,865.4873962402344,3639.7287449692235,2240.875522214611,0.0
11,931.9073181152344,3619.0902876420455,2232.0007127727763,0.0
12,928.8003845214844,3596.4844859730115,2222.320306673758,0.0
13,864.9672241210938,3571.807136304451,2211.801356908943,0.0005224660397074191
14,786.3444519042969,3545.5938017874055,2200.4095262776273,0.0
15,908.2457275390625,3517.5627959280305,2188.3961991016217,0.0
16,847.67431640625,3488.498475970644,2175.8459100410637,0.0
17,892.3617553710938,3457.3017134232955,2162.263611182139,0.0
18,886.2000427246094,3423.8316465435605,2147.743481099654,0.0
19,854.751220703125,3388.110499526515,2132.3101890729317,0.0
20,787.1790161132812,3350.5058445785985,2115.9654415892524,0.0
21,910.2027893066406,3311.8540261008525,2098.7610558843926,0.0
22,879.3335876464844,3272.069054805871,2080.8646476448635,0.0
23,822.5474853515625,3230.083066998106,2062.0233149785554,0.0
24,832.8829956054688,3187.187559185606,2042.178311895354,0.0
25,864.4094543457031,3143.1142356178975,2021.3176170733063,0.0
26,842.1242980957031,3097.3581986860795,1999.5324226155747,0.0
27,713.7724914550781,3050.661191998106,1976.9938458848744,0.0
28,705.190673828125,3003.690518465909,1954.177318572765,0.0
29,769.271240234375,2957.835944898201,1931.370305657555,0.0
30,779.3910522460938,2910.3281989820075,1907.6992488970645,0.0
31,785.6995239257812,2861.613044507576,1882.9674195350017,0.0004887585532746823
32,715.9520568847656,2813.7156575520835,1857.2699049949633,0.0
33,656.4297180175781,2766.976569898201,1830.9251925204537,0.0
34,672.9591064453125,2721.2194380326705,1804.2571920742107,0.0
35,660.9130859375,2674.2951512192235,1777.3526193002147,0.0005224660397074191
36,654.4065551757812,2625.959480054451,1750.2080049542856,0.0
37,607.1614074707031,2575.8249955610795,1722.9382034856337,0.0
38,575.8980712890625,2523.556218927557,1695.2599425242352,0.0
39,561.185791015625,2469.6533647017045,1666.9606846720844,0.0
40,611.8883056640625,2414.962609493371,1637.9050875302805,0.0
41,596.35498046875,2358.958836410985,1608.9840809427772,0.0010141987829614604
42,516.2096099853516,2302.310225053267,1580.4783534606147,0.0
43,603.0520629882812,2242.869865648674,1551.2854493788516,0.0
44,561.2415161132812,2181.338985558712,1521.9767300016997,0.0
45,471.1604309082031,2118.0687366832385,1492.6927836002026,0.0
46,530.9136352539062,2053.907411517519,1463.2119841656781,0.0
47,501.4171600341797,1986.69746167732,1433.1183907722686,0.0
48,475.71665954589844,1916.4181758996212,1402.2525277264263,0.0
49,409.97120666503906,1846.0949263139205,1370.8174582298982,0.0
50,395.4600830078125,1788.6937958688447,1338.7320748311881,0.0005224660397074191
51,407.566650390625,1740.3495427911932,1306.708202223272,0.0
52,466.9294128417969,1694.697968454072,1275.3305810295192,0.0005224660397074191
53,403.0016784667969,1652.8910466974432,1244.3961919645035,0.0005070993914807302
54,418.92237854003906,1622.0808142459755,1215.121938637261,0.0
55,361.6834411621094,1593.3143125591855,1185.6965204622823,0.0
56,405.01177978515625,1563.7897875236742,1158.492067824429,0.0
57,441.3339385986328,1534.625732421875,1130.546445375649,0.0
58,386.31964111328125,1507.1068596117425,1104.5145049598339,0.0
59,423.3233947753906,1476.6699107776988,1074.7916605725798,0.0
60,423.0052490234375,1448.5996907552083,1048.651533102769,0.0
61,416.15008544921875,1419.0617823745265,1021.0126063982964,0.0
62,401.93603515625,1390.0459058357008,993.7546645592831,0.0
63,336.0254364013672,1361.7630319306345,967.3525081375454,0.0
64,392.8544006347656,1333.0154326467803,940.0512155615713,0.0
65,305.0180358886719,1303.1916540897255,913.017082634174,0.0
66,339.9585418701172,1271.3594267874053,885.4135846648677,0.0005224660397074191
67,285.5521697998047,1237.6493215849905,857.6919356268858,0.0005252100840336134
68,272.7486343383789,1203.1678966175425,830.4691958328573,0.0005224660397074191
69,270.27523040771484,1168.9805445815578,803.726931899514,0.0005224660397074191
70,247.87323760986328,1134.1226122307055,777.2856916227876,0.001020408163265306
71,278.5337829589844,1099.1627012310605,752.1704276776156,0.0
72,247.49417114257812,1063.974687056108,728.1226391560114,0.001020408163265306
73,221.63052368164062,1029.3647904829545,704.0006510413657,0.0
74,238.8628158569336,994.4144712505919,680.7681406790688,0.0
75,243.0113983154297,958.9754990086411,658.1780529855263,0.0
76,225.8690948486328,923.4283225319602,636.2933217376077,0.0
77,316.0005798339844,887.479277639678,614.7130089182539,0.0
78,212.13951110839844,851.2343213630445,593.7173563594248,0.0005252100840336134
79,186.17205810546875,814.7358879320549,573.2151254275652,0.001724389116630496
80,196.9648895263672,777.8744303385416,553.8323003004255,0.0
81,195.2648162841797,740.1209106445312,535.3744543258456,0.0005224660397074191
82,185.18008422851562,705.096757368608,518.0688902066983,0.0
83,263.8644104003906,669.9300056226326,501.5625848437576,0.0
84,157.70120239257812,633.8281434955019,486.2611672979549,0.0
85,112.68159484863281,596.0590080492424,472.7424685012139,0.0
86,161.53713989257812,556.8482296105587,462.00127338552704,0.0
87,88.91129112243652,515.3927441221294,453.95517446785027,0.0
88,74.68503189086914,471.9736781264796,449.4085447214542,0.0004901960784313725
89,77.88946151733398,461.4006819291548,449.8124680922385,0.0
90,78.58572959899902,484.53356702399975,451.063114079973,0.0007936507936507937
91,91.64360809326172,518.2106600674716,444.0444131102135,0.0010141987829614604
92,224.14006423950195,485.48443418560606,447.57419818258944,0.0
93,111.62023544311523,471.551952940045,438.99988055021845,0.0
94,117.26946640014648,470.17755774295694,443.7194150257946,0.001488095238095238
95,172.67137908935547,445.1550699869792,438.7283751037903,0.0
96,123.28622817993164,517.9715733383641,442.2700973558483,0.0005224660397074191
97,97.71784973144531,476.3905066287879,437.79633592249155,0.0
98,108.06509399414062,449.8180745442708,438.15396064530404,0.0
99,101.62820434570312,446.76964129823625,436.19790921528715,0.0
100,93.93057250976562,442.26312533291906,435.9774505154533,0.0011494252873563218
101,123.54928207397461,443.6997236772017,436.40484520735396,0.0005224660397074191
102,88.33548545837402,455.0213886607777,435.7634214452803,0.0005224660397074191
103,110.68839263916016,460.03605513139206,436.52856544213654,0.0005252100840336134
104,81.7686653137207,461.70203191583806,436.24830026748407,0.0
105,143.74431610107422,447.09018776633525,434.9558885680248,0.0005252100840336134
106,212.78589248657227,443.4996078953599,435.0764322437374,0.0025252525252525255
107,94.1004867553711,456.0080695874763,434.9925364269588,0.0005224660397074191
108,89.7691879272461,447.97501997514206,434.31499926237905,0.0
109,88.22840690612793,447.52612859552556,433.92617958863275,0.0
